GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
baseProject-application,com.eolivenza.modules.baseProject.application.users,RemoveUserCommandHandler,18,0,0,0,7,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,UserNotCorrectException,3,0,0,0,1,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,ValidateUserCommandHandler,45,0,4,0,13,0,5,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,RemoveUserCommand,9,0,0,0,4,0,2,0,2,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,AddUserCommand,33,0,0,0,12,0,6,0,6,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,ValidateUserCommand,15,0,0,0,6,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,AddUserCommandHandler,79,0,4,0,23,0,6,0,4,0
baseProject-application,com.eolivenza.modules.baseProject.application.users,UserNotExistsException,3,0,0,0,1,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.commands.availableSizes,AddAvailableSizeToProductCommand,12,0,0,0,5,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.commands.availableSizes,AddAvailableSizeCommandHandler,41,0,2,0,11,0,4,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.categories.commands,AddCategoryCommand,9,0,0,0,4,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application.categories.commands,AddCategoryCommandHandler,26,0,0,0,8,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.suppliers.commands.commands,AddSupplierCommand,9,0,0,0,4,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application.suppliers.commands.commands,AddSupplierCommandHandler,26,0,0,0,8,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application,CommandHandler,4,0,0,0,1,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application,CommandLogger,50,0,4,0,14,0,5,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application,QueryHandler,4,0,0,0,1,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application,QueryLogger,64,0,4,0,14,0,5,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.users.queries,GetAllUsersQueryHandler,12,0,0,0,5,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.users.queries,GetUserQueryHandler,10,0,0,0,5,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.commands,AddProductCommand,15,0,0,0,6,0,1,0,1,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.commands,AddProductCommandHandler,78,0,4,0,18,0,6,0,4,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.queries,GetAllProductsQueryHandler,12,0,0,0,5,0,3,0,3,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.queries,GetProductQueryHandler,24,0,0,0,6,0,4,0,4,0
baseProject-application,com.eolivenza.modules.baseProject.application.products.queries,ProductNotFoundException,11,0,0,0,2,0,1,0,1,0
